,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,1.00565716986777,0.0,1.31005024831488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71521766563259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55923104863668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75481895374561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.0,0.824930699452275,0.0,0.0,0.0,0.0,0.0,0.855767593406081,1.6607930254182,3.06539499446341,0.0,0.0,0.0,0.0,0.0,1.18137929721363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1506141988946,0.0,0.0,0.0,0.0,0.0,3.34453217021673,0.0,0.0,0.0,0.0,0.0,1.60688281682492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55923104863668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,1.29036716775134,0.677808107888542,0.824930699452275,1.23277142134787,0.0,0.795682697992017,0.0,0.800720242436181,0.855767593406081,0.0,0.0,0.0,0.0,1.12883436901669,0.0,1.07517371569609,0.0,0.0,1.7118617553295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17981588325091,0.0,0.0,1.39202158099479,0.0,0.0,1.33508949448692,1.46582445857101,0.0,1.81677455236437,0.0,0.0,0.0,1.57483615925675,0.0,0.0,2.01940121907183,0.0,0.0,0.0,0.0,0.0,1.33632889224464,0.0,0.0,0.0,0.0,1.4414564126099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29426269940212,0.0,1.46531226853977,0.0,0.0,0.0,0.0,0.0,1.62073290948087,0.0,1.85714222849091,2.09808153413593,0.0,0.0,0.0,1.80140759977689,0.0,0.0,0.0,1.64796436611636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65648982452361,0.0
AAAS,0.0,0.0,0.824930699452275,0.795415901610925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64559632969763,0.0,1.07517371569609,1.18137929721363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32243457096493,0.0,0.0,0.0,0.0,0.0,0.0,1.46839172330709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66408175185499,0.0,0.0
AACS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04688752141043,0.0,1.36341309802558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46301259764646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09276742391351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAC,1.68458268871659,1.0781074563807,0.0,2.6650719917609,1.77028092155138,0.795682697992017,0.0,1.54360432472904,0.0,0.0,0.0,1.04139995629905,0.0,0.0,1.72374204183728,1.58124497234481,0.0,0.0,0.0,3.07492962965714,2.25891041219904,1.09198974790762,0.0,0.0,1.91971697230204,0.0,2.1651660828208,0.0,1.97402936112055,1.25383543133008,1.17981588325091,1.72975902705225,0.0,0.0,1.2104988022751,1.85350210489353,3.15285090134595,1.46582445857101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37961268000602,1.32243457096493,2.35767220216507,0.0,0.0,1.33529587805523,1.33632889224464,1.82961604586691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08594362943213,0.0,0.0,0.0,0.0,1.41164513474138,0.0,0.0,2.03572337994962,0.0,2.11970640044982,1.93274088481361,0.0,1.73685566178721,0.0,2.12067431022148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66373482153261,0.0,0.0,0.0,0.0,1.50302826221598,1.51593136452463,2.02680337387642,0.0,0.0,0.0,0.0,1.60497290740812,0.0,0.0,0.0
AADAT,0.0,0.0,0.0,0.0,0.0,0.0,1.00565716986777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57483615925675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58462702995753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05033202914929
AAED1,0.0,0.0,0.0,0.795415901610925,0.0,0.0,1.00565716986777,1.23961660963794,0.0,0.0,0.0,1.04139995629905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11999401022154,0.0,0.0,1.04688752141043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17981588325091,0.0,1.3865944361409,0.0,1.2104988022751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5399476131621,0.0,1.58216563210548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64796436611636,0.0,0.0,0.0,0.0,1.457426622874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12883436901669,0.0,0.0,1.18137929721363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3865944361409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46301259764646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69532172632394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAK1,0.630228793891107,0.677808107888542,0.0,0.795415901610925,0.96476374636562,0.0,1.82472823894903,0.800720242436181,0.0,1.6607930254182,0.994575900698313,1.04139995629905,0.0,0.0,0.0,0.0,0.0,1.2014819110892,0.0,0.0,0.0,0.0,0.0,1.99048946327247,0.0,0.0,0.0,1.30926032461894,1.12055076221281,0.0,1.17981588325091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33364685079293,0.0,0.0,0.0,0.0,1.57483615925675,0.0,0.0,0.0,0.0,1.43240845022191,1.41801372546231,0.0,0.0,0.0,1.28529841676794,1.46839172330709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90229471424047,1.45440072228004,0.0,0.0,0.0,0.0,2.03312301349711,0.0,0.0,1.5399476131621,0.0,0.0,0.0,0.0,1.54081181153626,0.0,0.0,0.0,1.55923104863668,0.0,0.0,0.0,1.66373482153261,0.0,1.64796436611636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMDC,0.0,1.0781074563807,0.0,0.795415901610925,0.96476374636562,0.795682697992017,0.0,0.800720242436181,1.62127555402891,1.14158928204197,0.994575900698313,1.04139995629905,1.69774727673508,0.0,0.930254799141195,1.07517371569609,0.0,1.2014819110892,0.0,0.0,1.14522971607237,1.09198974790762,1.04688752141043,0.0,1.36341309802558,0.0,0.0,0.0,1.12055076221281,1.25383543133008,0.0,1.19985857656374,1.3865944361409,0.0,0.0,1.30591521364908,1.33508949448692,0.0,0.0,1.27424255217057,0.0,0.0,1.94573874007306,0.0,0.0,0.0,1.45088903063211,0.0,0.0,1.41801372546231,2.31409562022533,0.0,1.33632889224464,0.0,1.46839172330709,0.0,0.0,1.4414564126099,0.0,1.58462702995753,0.0,0.0,0.0,0.0,0.0,2.48047245816107,1.41164513474138,0.0,0.0,1.46531226853977,0.0,1.5399476131621,0.0,0.0,0.0,2.20976673502747,0.0,0.0,0.0,0.0,0.0,0.0,1.80140759977689,0.0,0.0,2.28623474100471,0.0,0.0,0.0,0.0,0.0,1.457426622874,0.0,0.0,1.63520791060614,0.0,0.0,1.66408175185499,0.0,0.0
AAMP,0.0,1.3631966075373,0.824930699452275,0.795415901610925,0.96476374636562,0.0,0.0,0.800720242436181,1.31005024831488,0.0,0.0,0.0,0.0,1.12883436901669,0.0,1.07517371569609,0.0,0.0,0.0,0.0,1.14522971607237,1.09198974790762,0.0,1.42540873735213,1.36341309802558,1.30219950096246,0.0,1.30926032461894,1.12055076221281,0.0,0.0,2.07429610670219,1.3865944361409,0.0,0.0,0.0,0.0,0.0,1.33364685079293,0.0,0.0,0.0,0.0,1.57483615925675,1.56758755884683,0.0,0.0,1.87258528715908,0.0,0.0,0.0,0.0,0.0,1.28529841676794,0.0,0.0,1.60688281682492,1.4414564126099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46531226853977,1.41848813100786,0.0,0.0,0.0,0.0,1.62073290948087,0.0,0.0,2.46178963357261,0.0,1.55923104863668,0.0,0.0,0.0,1.66373482153261,0.0,1.64796436611636,0.0,1.69532172632394,1.50302826221598,0.0,0.0,0.0,0.0,0.0,1.53450102219499,0.0,0.0,0.0,0.0
AAR2,0.630228793891107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14158928204197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41164513474138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800720242436181,0.855767593406081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2014819110892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81548135419864,0.0,1.12055076221281,0.0,0.0,0.0,0.0,0.0,1.2104988022751,1.30591521364908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45088903063211,1.32243457096493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41848813100786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49896467357776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51593136452463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25383543133008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33529587805523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58462702995753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41848813100786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69061629995442,0.0,0.0,0.0,0.0,0.0,0.0,1.64796436611636,0.0,0.0,1.50302826221598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASDH,0.0,0.0,0.0,0.0,0.96476374636562,0.0,0.0,1.23961660963794,0.0,0.0,0.994575900698313,0.0,0.0,0.0,0.0,0.0,0.0,1.2014819110892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30591521364908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19438517880036,0.0,0.0,1.58462702995753,0.0,0.0,0.0,0.0,0.0,1.86770977587311,0.0,0.0,0.0,0.0,1.41848813100786,0.0,1.37478077060808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80140759977689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AASDHPPT,0.0,0.0,0.824930699452275,0.795415901610925,0.0,0.0,0.0,0.800720242436181,1.31005024831488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42540873735213,0.0,1.30219950096246,0.0,0.0,1.12055076221281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60688281682492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5399476131621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64796436611636,0.0,0.0,1.50302826221598,0.0,0.0,0.0,1.87608774620599,0.0,0.0,0.0,0.0,0.0,0.0
AASS,0.0,0.0,0.0,0.795415901610925,1.44652719518471,0.0,0.0,0.0,0.855767593406081,0.0,0.0,1.04139995629905,0.0,1.12883436901669,0.0,0.0,2.05111898649013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39202158099479,0.0,0.0,0.0,0.0,1.33364685079293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45088903063211,0.0,0.0,0.0,1.71521766563259,0.0,0.0,1.28529841676794,0.0,0.0,0.0,0.0,2.33954026797069,0.0,0.0,1.50985911457773,1.90229471424047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58216563210548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66373482153261,0.0,0.0,0.0,0.0,0.0,0.0,1.457426622874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATF,0.630228793891107,1.0781074563807,0.824930699452275,0.0,0.0,0.0,0.0,0.800720242436181,0.0,0.0,0.0,0.0,0.0,1.12883436901669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09198974790762,0.0,0.0,1.36341309802558,0.0,0.0,1.30926032461894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15870322381245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28529841676794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46531226853977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52066335423564,0.0,0.0,1.49896467357776,0.0,0.0,0.0,0.0,0.0,0.0,1.69532172632394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65648982452361,0.0
ABCA1,0.630228793891107,0.0,0.824930699452275,0.0,0.0,0.0,1.00565716986777,1.23961660963794,0.0,1.14158928204197,1.48322936235793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11999401022154,0.0,0.0,1.04688752141043,1.42540873735213,0.0,1.30219950096246,0.0,0.0,0.0,1.25383543133008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46582445857101,0.0,1.27424255217057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85714222849091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457426622874,0.0,0.0,1.63520791060614,0.0,0.0,0.0,0.0,0.0
